סמל רשות,מספר סידורי,שם רשות מקומית,שטח שיפוט (דונם),שטח תפוס על ידי לוחות סולאריים (דונם),מספר מבנים,שטח גגות כולל (דונם),שטח פוטנציאל שנמצא מתאים לסולארי (דונם),שטח לא פנוי (דונם),הספק מותקן מוערך קיים (MW),אחוז מימוש,הספק פוטנציאל מוערך (MW),סיווג שימוש,הערות
3650,0,אפרת,5876.2,0.1,29,11.2,5.2,0,0,1.8,0.7,ציבורי,usg code is main usage
3650,0,אפרת,5876.2,0,0,0,0,0,0,0,0,ממשלתי,"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0,0,0,0,0,0,0,0,תחבורה,"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0,0,0,0,0,0,0,0,אקדמיה,"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0,22,8.9,4.6,0,0,0.2,0.7,שירותי דת,"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0,0,0,0,0,0,0,0,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0,1,0.2,0.1,0,0,0,0,רפואה,"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,7.2,65,33.5,12.2,5.2,1,37,1.7,רשות מקומית,usg code is main usage
3650,0,אפרת,5876.2,5.6,42,22.9,7.9,3.9,0.8,41.7,1.1,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,1.5,23,10.7,4.3,1.3,0.2,26.3,0.6,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,1.7,721,197.4,74.6,1.5,0.2,2.3,10.7,מגורים,usg code is main usage
3650,0,אפרת,5876.2,1,399,103.2,41.1,0.6,0.1,2.3,5.9,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0.8,255,71.4,27.1,0.7,0.1,2.8,3.9,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0,62,20,5.5,0.1,0,0,0.8,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0,5,2.8,0.9,0.1,0,0,0.1,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
3650,0,אפרת,5876.2,0,1,1.6,1.1,0,0,0,0.2,תעשייה,usg code is main usage
3650,0,אפרת,5876.2,0,4,0.7,0.4,0,0,0,0.1,תשתיות ומתקנים הנדסיים,usg code is main usage
3650,0,אפרת,5876.2,0,7,4.5,1.3,0,0,0,0.2,"מסחר, משרדים ותיירות",usg code is main usage
3650,0,אפרת,5876.2,0,0,0,0,0,0,0,0,חקלאות,usg code is main usage
3650,0,אפרת,5876.2,0.1,19,2.9,1.4,0,0,4.4,0.2,אחר,usg code is main usage
182,1,אבן יהודה,8142,0.1,19,8.4,3.5,0,0,3.5,0.5,ציבורי,usg code is main usage
182,1,אבן יהודה,8142,0,3,4.9,2.1,0,0,0,0.3,ממשלתי,"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0,0,0,0,0,0,0,0,תחבורה,"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0,0,0,0,0,0,0,0,אקדמיה,"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0.1,13,2.7,1.1,0,0,7,0.2,שירותי דת,"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0,0,0,0,0,0,0,0,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0,3,0.7,0.2,0,0,14.1,0,רפואה,"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,4.4,166,72.7,37.8,3.8,0.6,10.5,5.4,רשות מקומית,usg code is main usage
182,1,אבן יהודה,8142,3.7,132,56.8,29.4,3,0.5,11.1,4.2,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0.7,32,15.5,8.1,0.8,0.1,8.3,1.2,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,8.3,2026,455.5,161,12.4,1.2,4.9,23,מגורים,usg code is main usage
182,1,אבן יהודה,8142,8.3,1978,441.1,157.4,11.7,1.2,5,22.5,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0.1,48,14.4,3.6,0.6,0,1.8,0.5,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0,0,0,0,0,0,0,0,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,0,0,0,0,0,0,0,0,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
182,1,אבן יהודה,8142,5.2,32,52.8,32.6,4.8,0.8,13.9,4.7,תעשייה,usg code is main usage
182,1,אבן יהודה,8142,0,4,1,0.6,0,0,0,0.1,תשתיות ומתקנים הנדסיים,usg code is main usage
182,1,אבן יהודה,8142,0.8,39,15.5,7,0.3,0.1,10.7,1,"מסחר, משרדים ותיירות",usg code is main usage
182,1,אבן יהודה,8142,0.8,19,9,3.6,0.7,0.1,18.8,0.5,חקלאות,usg code is main usage
182,1,אבן יהודה,8142,0,12,2.7,1.5,0,0,1.1,0.2,אחר,usg code is main usage
2530,2,באר יעקב,9460.8,2,209,135.5,78.1,1,0.3,2.5,11.2,ציבורי,usg code is main usage
2530,2,באר יעקב,9460.8,0,3,3.4,2.1,0,0,0,0.3,ממשלתי,"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0,6,2.3,1.2,0,0,0,0.2,תחבורה,"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0.7,4,1.1,0.3,0,0.1,66.9,0,אקדמיה,"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0.7,33,11.6,6,0.4,0.1,9.8,0.9,שירותי דת,"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0,1,0.1,0.1,0,0,0,0,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0.6,162,117,68.3,0.6,0.1,0.9,9.8,רפואה,"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,1,219,108.4,62.2,0.4,0.1,1.6,8.9,רשות מקומית,usg code is main usage
2530,2,באר יעקב,9460.8,1,198,103,59.9,0.4,0.1,1.7,8.6,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0,18,4.8,2.1,0,0,0,0.3,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,5.5,1347,428.7,171.4,7.9,0.8,3.1,24.5,מגורים,usg code is main usage
2530,2,באר יעקב,9460.8,5,1121,287.4,127.5,3.5,0.7,3.7,18.2,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
