מספר סידורי,סמל רשות,שם רשות מקומית,שם שכונה,"שטח שכונה (מ""ר)","שטח תפוס על ידי לוחות סולאריים (מ""ר)",מספר מבנים,"שטח גגות כולל (מ""ר)","שטח פוטנציאל שנמצא מתאים לסולארי (מ""ר)","שטח לא פנוי (מ""ר)",הספק מותקן מוערך קיים (KW),אחוז מימוש,הספק פוטנציאל מוערך (KW)
65867117,8600,רמת גן,רמת שקמה,456768,715,235,107725,33734,4659,102,2.1,4819
65867118,8600,רמת גן,תל השומר,886306,2367,118,205415,100714,2728,338,2.3,14388
65867119,8600,רמת גן,תל בנימין,155240,109,69,26092,8794,525,16,1.2,1256
74050251,8600,רמת גן,בן-גוריון,435594,445,277,90358,33258,4634,64,1.3,4751
65867121,8600,רמת גן,גפן,343229,752,320,97822,37868,6310,107,1.9,5410
66239245,8600,רמת גן,הלל,276413,660,279,73193,30450,2686,94,2.1,4350
66239246,8600,רמת גן,הראשונים,280116,485,166,64369,18078,3930,69,2.6,2583
66239247,8600,רמת גן,מרום נווה,429458,626,260,102993,38912,4806,89,1.6,5559
65867125,8600,רמת גן,נחלת גנים,295629,560,236,81052,27388,4303,80,2,3913
65867126,8600,רמת גן,נווה יהושע,498466,1504,260,102299,26184,7123,215,5.4,3741
65867127,8600,רמת גן,חרוזים,248598,457,129,51539,13872,4276,65,3.2,1982
73921195,8600,רמת גן,רמת אפעל,1536575,3691,613,173243,67064,5325,527,5.2,9581
65867129,8600,רמת גן,"כפר אז""ר",872126,1231,215,56958,25088,877,176,4.7,3584
65867130,8600,רמת גן,שיכון צנחנים,444119,2777,165,44811,16288,2701,397,14.6,2327
65867131,8600,רמת גן,הבילויים,419091,570,260,85974,25532,5457,81,2.2,3647
65867133,8600,רמת גן,קריית בורוכוב,158199,584,160,50931,14052,2306,83,4,2007
66239248,8600,רמת גן,חשמונאים,379185,517,334,107035,38492,5761,74,1.3,5499
65867135,8600,רמת גן,שיכון ותיקים,399617,1295,330,92894,32802,3887,185,3.8,4686
65867136,8600,רמת גן,הבורסה,317158,157,120,87015,28514,547,22,0.5,4073
67802887,7800,פרדס חנה-כרכור,הכפר הירוק,60894,79,35,5747,1758,146,11,4.3,251
67802888,7800,פרדס חנה-כרכור,אחוזה ירוקה,146018,1463,103,27721,8186,1958,209,15.2,1169
65867139,7800,פרדס חנה-כרכור,ניצני השרון,64438,69,42,8933,4098,276,10,1.7,585
74050252,8600,רמת גן,יהלום,155079,106,143,43213,15378,2325,15,0.7,2197
65867142,7800,פרדס חנה-כרכור,נווה רותם,60972,44,57,11872,5114,339,6,0.9,731
65867143,7800,פרדס חנה-כרכור,שיכון רמז,320248,234,237,62356,26948,1084,33,0.9,3850
73166002,7800,פרדס חנה-כרכור,גינת אגוז,346422,1620,197,71096,24154,4187,231,6.3,3451
67802882,7800,פרדס חנה-כרכור,נווה מרחב,498344,1026,318,76191,32988,1834,147,3,4713
67802883,7800,פרדס חנה-כרכור,יובלים,525174,5377,446,95145,31488,4389,768,14.6,4498
71485801,7800,פרדס חנה-כרכור,תל רמת כרכור,241240,213,123,43118,13146,2004,30,1.6,1878
67802885,7800,פרדס חנה-כרכור,שיכון עממי,56072,0,37,11002,4988,155,0,0,713
67802886,7800,פרדס חנה-כרכור,רסקו,175934,78,79,14733,6358,243,11,1.2,908
67802892,7800,פרדס חנה-כרכור,נווה התות,88838,184,75,14251,5564,364,26,3.2,795
67802893,7800,פרדס חנה-כרכור,פרחי הדר,125801,746,127,28448,13006,1108,107,5.4,1858
67802894,7800,פרדס חנה-כרכור,נווה אשר,310300,764,234,53458,22604,1303,109,3.3,3229
67802895,7800,פרדס חנה-כרכור,נווה הדרים,285009,1014,175,41399,17800,1108,145,5.4,2543
66239235,8600,רמת גן,יד לבנים,286788,677,272,79576,29936,4123,97,2.2,4277
65867202,8600,רמת גן,תל גנים,196782,921,191,47020,19110,1632,132,4.6,2730
74050253,8600,רמת גן,רמת עמידר,428797,575,328,116490,32180,5068,82,1.8,4597
65867204,8600,רמת גן,שיכון מזרחי,297541,232,190,77443,25526,4947,33,0.9,3647
65867205,8600,רמת גן,מתחם נגבה,475177,1909,450,113681,36684,6749,273,4.9,5241
66239236,8600,רמת גן,תל יהודה,291204,363,321,72540,24336,3378,52,1.5,3477
65867208,8600,רמת גן,אצטדיון,515144,5402,28,65640,41816,4948,772,11.4,5974
65867209,8600,רמת גן,קריית קריניצי,726630,1221,334,112539,33104,3194,174,3.6,4729
65867210,8600,רמת גן,רמת חן,948109,3324,871,221963,79468,7438,475,4,11353
65867211,246,נתיבות,נטעים,308789,1763,282,75758,34980,739,252,4.8,4997
65867212,246,נתיבות,לוי אשכול,69789,324,64,15482,6748,86,46,4.6,964
65867213,246,נתיבות,באבא סאלי,784994,5622,569,170859,79276,2947,803,6.6,11325
65867214,246,נתיבות,ברית כהונה,257363,771,114,50609,25256,771,110,3,3608
65867216,31,אופקים,בן-גוריון,300065,1559,189,68268,32940,1045,223,4.5,4706
72936882,31,אופקים,"הרי""ף",424162,5538,260,79120,36348,2284,791,13.2,5193
65867218,31,אופקים,שפירא,787991,5724,908,207649,92200,2325,818,5.8,13171
72936883,31,אופקים,רמת השקד,1188739,12482,723,195458,90236,5162,1783,12.2,12891
65867220,681,גבעת שמואל,רמת הדקלים,191528,1869,50,35610,10206,2513,267,15.5,1458
65867221,681,גבעת שמואל,השחר,69158,162,57,12351,3818,433,23,4.1,545
65867222,681,גבעת שמואל,רמת אילן,168844,859,42,25688,7674,1646,123,10.1,1096
65867223,681,גבעת שמואל,גיורא,329837,133,224,77019,21862,3185,19,0.6,3123
65867224,681,גבעת שמואל,השכונה הוותיקה,251813,741,204,64109,18386,2518,106,3.9,2627
65867225,681,גבעת שמואל,רמת הדר,497141,1819,199,89836,26520,4506,260,6.4,3789
65867226,874,מגדל העמק,נוף העמק,566984,2118,395,104213,46556,696,303,4.4,6651
65867227,874,מגדל העמק,פנינת העמק,246036,1065,92,38001,16152,1027,152,6.2,2307
65867229,874,מגדל העמק,מגדל אור,173576,4201,56,27640,9420,3301,600,30.8,1346
65867230,874,מגדל העמק,אזור התעשייה שגיא 2000,1126359,0,0,0,0,0,0,0,0
