סמל רשות,מספר סידורי,שם רשות מקומית,שטח שיפוט (דונם),שטח תפוס על ידי לוחות סולאריים (דונם),מספר מבנים,שטח גגות כולל (דונם),שטח פוטנציאל שנמצא מתאים לסולארי (דונם),שטח לא פנוי (דונם),הספק מותקן מוערך קיים (MW),אחוז מימוש,הספק פוטנציאל מוערך (MW),"הספק מותקן דו שימוש חח""י"
26,113,ראש פינה,16814.4,43.4,903,311.5,131.1,34.5,6.2,24.9,18.7,6.8
28,126,מזכרת בתיה,7425.4,10.8,1550,491.8,224.5,8.9,1.5,4.6,32.1,3.7
29,156,יסוד המעלה,11689.2,13,530,131.7,53.7,7.9,1.9,19.5,7.7,3.3
31,142,אופקים,16352.4,65,4024,1252,619.1,39,9.3,9.5,88.4,14.6
41,135,אליכין,1689.2,1.2,773,168.5,73.7,0.7,0.2,1.6,10.5,0.3
43,174,מטולה,9391.9,0.1,455,117.7,64.1,0,0,0.1,9.2,2
46,32,יבנאל,31210.7,13.7,1051,269.8,128,7.6,2,9.7,18.3,3.9
47,134,כפר תבור,12387.3,16.2,979,264,113.9,8.6,2.3,12.5,16.3,4.3
65,150,מגדל,11627.8,4.9,571,143,64.3,2.9,0.7,7,9.2,0.8
70,84,אשדוד,63921.9,256,6191,4040.7,1719.5,339.5,36.6,13,245.6,41.5
99,48,מצפה רמון,75708,15.7,540,177,72.6,10.3,2.2,17.8,10.4,3.3
122,144,רמת ישי,2332.3,8.4,1326,314.1,140.8,4.5,1.2,5.7,20.1,2.3
154,250,תל מונד,7127,11.7,1978,578.1,245.3,8.3,1.7,4.5,35,3.2
166,213,גן יבנה,11452.8,31.7,3108,899.3,345.9,38.7,4.5,8.4,49.4,7.2
168,256,כפר יונה,11510.3,16.7,2536,709.6,254.7,31,2.4,6.2,36.4,4.9
171,243,פרדסיה,1473.8,7.3,914,230.3,85.6,11.1,1,7.9,12.2,1.7
182,1,אבן יהודה,8142,19.8,2317,617.6,247.5,22,2.8,7.4,35.4,5.7
195,54,קדימה - צורן,10844.6,16.2,2431,676.3,243.7,23.7,2.3,6.2,34.8,6.1
229,28,גני תקווה,2157.9,13.4,912,322.6,98.2,20.2,1.9,12,14,2.7
240,82,יקנעם עילית,9221.2,19.9,1991,703.1,319.8,19.2,2.8,5.9,45.7,3.5
246,36,נתיבות,16218.6,74.6,3285,1265.5,620.6,55.2,10.7,10.7,88.7,16
267,75,כפר שמריהו,2728.4,1.5,686,220.4,90.4,3.2,0.2,1.6,12.9,0.3
466,193,בית דגן,1864.7,3,709,249.9,108.9,2.8,0.4,2.6,15.6,0.6
469,233,קרית עקרון,2809.2,25,1292,466.8,203.4,22.3,3.6,11,29.1,4.3
472,188,אבו גוש,1891.2,0.9,844,231.8,92.9,0.6,0.1,1,13.3,0.2
473,145,אבו סנאן,6455.3,11.3,2050,482.2,196.7,10.1,1.6,5.4,28.1,1.8
478,49,אכסאל,9378.2,13.4,1752,496.5,172.4,16.2,1.9,7.2,24.6,2.9
480,132,בית ג'ן,7199.1,9.2,2454,596,266.4,3.5,1.3,3.3,38.1,3.5
481,187,מגאר,21112.5,6.1,4006,891.6,371.1,2.2,0.9,1.6,53,2.5
482,234,בועיינה - נוג'ידאת,7159.3,4,1453,332.3,129.9,3.5,0.6,3,18.6,0.8
483,25,בענה,3458.2,1.6,1111,343.8,161.7,5.8,0.2,1,23.1,0.2
485,239,ג'וליס,3998.4,28.8,1373,356.4,138.8,19.6,4.1,17.2,19.8,6
487,235,גוש חלב (ג'יש),7061.1,3.5,483,107.1,45.3,1.7,0.5,7.2,6.5,1.4
489,61,דבוריה,5626.1,9.1,1489,389.1,135.9,7.6,1.3,6.3,19.4,2.8
490,254,דיר אל אסד,5155.8,4.6,1334,366.4,157.4,8.6,0.7,2.9,22.5,0.8
492,147,דיר חנא,8918,1.3,1516,346.3,130.7,4.1,0.2,0.9,18.7,0.5
494,53,דאלית אל כרמל,12726.2,63.7,4730,1125.2,483.3,21.8,9.1,11.6,69,12.2
496,123,חורפיש,6228.1,6.6,1438,324,146,1.6,0.9,4.3,20.9,3.7
498,214,טורעאן,12291.9,5.3,1803,409.4,145,9,0.8,3.5,20.7,1.8
499,80,יפיע,4080,8.8,2125,539.5,228.9,7.1,1.3,3.7,32.7,1.5
502,249,ירכא,16137.2,29.4,3702,1076.3,484,29.4,4.2,5.7,69.1,5.5
504,164,כאבול,7277.3,1.6,1916,452,208.6,1.3,0.2,0.8,29.8,0.4
505,217,כאוכב אבו אל היג'א,2731.5,0.1,666,156.2,66.4,0.1,0,0.2,9.5,0
507,196,כפר יאסיף,3264.8,2.9,1324,359.2,150.4,6.3,0.4,1.9,21.5,1.4
508,124,כפר כמא,8827,4.9,759,175.3,76.1,1.3,0.7,6,10.9,1.5
509,89,כפר כנא,10056.4,8.3,3074,845.4,361.6,6,1.2,2.2,51.7,1.6
510,201,כפר מנדא,11028.5,5.6,2738,720.3,312.8,3.8,0.8,1.8,44.7,1.5
511,159,עילוט,3114.6,1.3,1243,307.8,149.6,0.2,0.2,0.8,21.4,0.2
516,241,מג'ד אל כרום,9306.8,5.5,2077,523.2,201.5,10.8,0.8,2.7,28.8,0.6
517,116,מזרעה,983.4,2.4,501,157,76.4,2,0.3,3,10.9,0.5
518,5,מעיליא,2124.5,10,668,159.2,71.1,3.9,1.4,12.3,10.2,4
520,97,משהד,7166,0.7,1008,256.9,106.3,0.4,0.1,0.7,15.2,0.1
522,231,נחף,6067.1,4.1,1560,359.9,131.5,8.7,0.6,3.1,18.8,1.3
525,219,סאג'ור,3568.4,1.3,834,192.5,75.7,2.9,0.2,1.7,10.8,0.6
529,88,אעבלין,12082.6,17,2195,582.6,267.4,14.8,2.4,6,38.2,3.3
530,62,עילבון,5627.7,5.6,956,224.6,88.3,5,0.8,5.9,12.6,1.2
531,151,עראבה,8398.6,3.5,3871,942.9,355.1,12.4,0.5,1,50.7,0.8
532,209,עין מאהל,5221.6,4.6,1518,357.6,129.3,3.6,0.7,3.5,18.5,0.9
534,52,עוספייא,11066.1,31.5,2900,758.2,335.8,11.1,4.5,8.6,48,5.1
535,64,פסוטה,11051.9,5.7,626,141.6,60.7,1.2,0.8,8.6,8.7,0.9
536,141,פקיעין (בוקייעה),5650.1,2.4,1296,318.9,145.4,0.2,0.3,1.6,20.8,1.8
537,137,פוריידיס,4056.9,0.3,1000,225.7,82.3,4.3,0,0.4,11.8,0.6
538,180,שעב,5383.5,0.3,733,174.7,73.7,0,0,0.4,10.5,0.1
541,86,ג'סר אל-זרקא,2071.8,0.2,1151,274,100.2,4.2,0,0.2,14.3,0
542,74,ריינה,10846.4,5.7,2478,650.2,280.8,3.4,0.8,2,40.1,0.9
543,85,ראמה,6491.6,2.8,1264,318.4,116.9,6.4,0.4,2.3,16.7,0.8
565,94,אזור,2439.3,2.2,1096,358,166.2,1.2,0.3,1.3,23.7,0.5
587,258,סביון,3719.8,9.2,1361,475.8,184.2,11.5,1.3,4.8,26.3,1.9
627,100,ג'לג'וליה,2469.5,7.6,956,250.2,98.3,9.5,1.1,7.2,14,1.3
628,215,ג'ת,7462.9,7.3,2410,563,239.5,4.2,1,3,34.2,1
633,12,כפר ברא,2450.5,0.4,483,123.3,51.9,0.3,0.1,0.7,7.4,0.1
634,47,כפר קאסם,9300.1,69.3,4788,1609.8,813.5,65.2,9.9,7.9,116.2,13
637,111,ערערה,9176.7,13,4234,988.8,433.1,8.7,1.9,2.9,61.9,1.4
638,221,קלנסווה,8365.6,11.9,3525,908.4,377.1,6.2,1.7,3,53.9,2.5
654,175,כפר קרע,7809.7,19,4946,1268.6,577.3,12.2,2.7,3.2,82.5,3.2
666,14,עומר,18220.4,38.6,2067,509.7,192.3,20.1,5.5,16.7,27.5,8.2
681,122,גבעת שמואל,2576.1,7.6,837,360,107.8,18.4,1.1,6.5,15.4,1.3
812,224,שלומי,5856.2,23.7,892,300.3,140.5,17.7,3.4,14.4,20.1,5.5
831,218,ירוחם,58598.4,50.5,1299,497.4,217.5,34.4,7.2,18.9,31.1,5.8
874,55,מגדל העמק,9490.2,67.4,2115,915.4,451.1,49.3,9.6,13,64.4,13.5
913,210,שבלי - אום אל רנם,3274.9,3.5,1062,265.1,107.2,1.2,0.5,3.1,15.3,0.6
922,60,רכסים,3863.5,8.5,751,241.7,98.9,5.7,1.2,8,14.1,1.6
944,107,בסמת טבעון,3929.3,3.6,1367,319.8,127.8,1.7,0.5,2.8,18.3,0.1
962,222,טובא - זנגרייה,3621.9,1,1319,325.1,136.6,3.1,0.1,0.7,19.5,0.2
975,207,זרזיר,4309.4,7.9,1871,449,212.4,3.6,1.1,3.6,30.3,1.7
978,245,כעביה - טבאש - חג'אג'רה,1915,0.5,1065,247.5,106.7,0.2,0.1,0.5,15.2,0.1
998,65,ביר אל מכסור,5848,2.5,1919,428.7,194.9,1.3,0.4,1.3,27.8,0.8
1015,255,מבשרת ציון,6290.4,9.9,2046,690.5,206.6,27.7,1.4,4.6,29.5,1.5
1020,117,אור עקיבא,5546,19.7,1779,688.5,353.9,17.9,2.8,5.3,50.6,3.6
1031,42,שדרות,10656.3,133.4,2716,1203.6,547.4,100.7,19.1,19.6,78.2,23.7
1034,163,קרית מלאכי,4578.7,84.3,1634,814.3,335.3,85.7,12,20.1,47.9,9.3
1054,199,תל שבע,9421.1,5.7,3481,696.3,305.5,9.5,0.8,1.8,43.6,0.3
1059,93,כסייפה,13526.3,14.8,2181,453.1,211.9,9.1,2.1,6.5,30.3,1.8
1060,24,לקיה,6862.9,6.4,2103,492.8,226.6,4.3,0.9,2.7,32.4,0.2
1061,17,נוף הגליל,32861.2,146.8,2510,1392.6,635,136.4,21,18.8,90.7,10
1063,202,מעלות - תרשיחא,9260.6,57.7,2583,811.7,357.4,45.4,8.2,13.9,51.1,11.5
1066,204,"בני עי""ש",1984.2,0.5,417,148.2,54.9,0.4,0.1,1,7.8,2.8
1113,251,צור הדסה,3961.1,9.1,893,218.5,81.8,7.2,1.3,10,11.7,1.7
1137,95,קרית יערים,498.4,2.3,223,87.5,31.2,2.6,0.3,6.9,4.5,0.1
1139,37,כרמיאל,22029.4,162.6,3071,1515.1,580.5,171.5,23.2,21.9,82.9,27.5
1161,11,רהט,33481.5,82.1,8877,2500,1113.3,86.6,11.7,6.9,159,4
1192,96,ערערה בנגב,14026.3,9.6,2424,562.4,285.5,7.8,1.4,3.3,40.8,1.5
1200,178,מודיעין - מכבים - רעות,48329.5,188,5419,2702.6,969.2,188.1,26.9,16.2,138.5,32.3
1224,51,כוכב יאיר,3046.5,25.7,2043,505.7,217.6,16.3,3.7,10.6,31.1,5.7
1247,38,חריש,8995.2,18.1,818,445.5,165.2,25.1,2.6,9.9,23.6,2.3
1263,18,כפר ורדים,4855.7,19.2,1484,318.2,139.2,4.7,2.7,12.1,19.9,3.9
1268,59,מיתר,24230.3,58.3,2295,490.3,207.8,11.1,8.3,21.9,29.7,13.9
1271,252,להבים,11152.3,28.5,1682,379.5,143.9,10.1,4.1,16.5,20.6,6.5
1286,90,שגב שלום,13524.7,24.4,2383,530.4,244.7,19.8,3.5,9.1,35,1.6
1290,236,זמר,8330.1,2.2,1355,309.2,132,1.6,0.3,1.6,18.9,0.4
1292,170,ג'דיידה - מכר,9092.8,1.5,2607,659,278.9,8.3,0.2,0.5,39.8,0.7
1295,10,יאנוח - ג'ת,13555,11.5,1420,331.5,148.2,4.9,1.6,7.2,21.2,3.2
1296,44,כסרא - סמיע,14156.5,11.1,1959,492,218.8,5.2,1.6,4.8,31.3,2.9
1303,232,חורה,8738,16.2,3865,860.6,403.9,11.1,2.3,3.9,57.7,1
1304,162,שהם,7162.5,14.8,1498,670.6,274.9,12.2,2.1,5.1,39.3,7.3
1309,112,אלעד,3487.5,6.1,941,449.8,176.8,6.3,0.9,3.3,25.3,1.9
1326,31,"בסמ""ה",5603.5,3.8,1805,478.8,217.8,3.2,0.5,1.7,31.1,1
1327,158,מעלה עירון,6033.5,3.6,2443,563.7,234.1,3.4,0.5,1.5,33.4,0.7
1722,172,מגדל תפן,2691.1,31.9,116,257.7,164.1,33.3,4.6,16.3,23.4,6.7
1770,176,נאות חובב,76869.6,28.9,541,366,210.3,27.2,4.1,12.1,30,3.7
2034,87,חצור הגלילית,5456.8,31.1,1093,439.6,199.5,23.3,4.4,13.5,28.5,5.9
2100,16,טירת כרמל,6710.8,26.1,1204,615.6,269.1,28.2,3.7,8.8,38.4,5.9
2200,146,דימונה,223234,74,3267,1273,546.4,50.5,10.6,11.9,78.1,13.1
2300,143,קרית טבעון,9260.3,23.4,3207,814.1,340.4,12,3.3,6.4,48.6,5
2400,27,אור יהודה,7613.3,25.6,1569,841.4,368,27.6,3.7,6.5,52.6,4.8
2500,3,נשר,12945.5,27.8,1249,625.3,288.8,28.8,4,8.8,41.3,5.3
2530,2,באר יעקב,9460.8,15.5,1920,776,373.3,15.2,2.2,4,53.3,2.7
2550,39,גדרה,11432.7,22,3087,950.3,341.4,15.3,3.1,6,48.8,6
2560,167,ערד,125682.9,82.2,2483,778,357.5,55.5,11.7,18.7,51.1,15.7
2600,200,אילת,101492.5,122.5,3672,1896.1,682.9,120.3,17.5,15.2,97.6,27.2
2610,71,בית שמש,38289.9,121,4721,2210,765.8,172.9,17.3,13.6,109.4,23.6
2620,238,קרית אונו,5373.5,24.5,2021,767.6,252.3,40.8,3.5,8.9,36,4.9
2630,101,קרית גת,22381.8,173.7,3858,2310.4,1020.5,199.2,24.8,14.5,145.8,27
2640,103,ראש העין,15864.4,38.7,5118,1703.5,698.7,47.6,5.5,5.2,99.8,7.3
2650,57,רמת השרון,16772.7,29.7,4086,1484.3,544.1,51.3,4.2,5.2,77.7,8.6
2660,98,יבנה,29180,99.6,3019,1392.7,533.8,126.6,14.2,15.7,76.3,17.1
2710,165,אום אל פחם,26028.3,15.1,8262,2191.4,969.1,12,2.2,1.5,138.4,2.5
2720,83,טירה,12037,49.4,5985,1611.2,689.5,31.6,7.1,6.7,98.5,8.4
2730,186,טייבה,18909.5,19.4,6352,1640.3,657.4,13.9,2.8,2.9,93.9,3.4
2800,246,קרית שמונה,14382.7,61.9,2468,1008.8,464.1,45.8,8.8,11.8,66.3,18.4
3000,33,ירושלים,125548.2,232.5,31590,14218,4257.9,580.9,33.2,5.2,608.3,29.6
3557,6,קדומים,3490.9,6,747,150.1,64.8,2.5,0.9,8.5,9.3,3.3
3560,184,אלקנה,4154.7,21.8,1732,408,163.1,12.7,3.1,11.8,23.3,2.4
