סמל רשות,מספר סידורי,שם רשות מקומית,שטח שיפוט (דונם),מספר מתחמים לקירוי,שטח מתחמים לקירוי,שטח פוטנציאל שנמצא מתאים לקירוי סולארי (דונם),הספק פוטנציאל מוערך לקירוי סולארי (MW),שטח לא פנוי (דונם),שטח תפוס על ידי לוחות סולאריים (דונם),הספק מותקן מוערך קיים (MW),אחוז מימוש,סיווג שימוש,הערות
3650,0,אפרת,5876.2,8,7.6,2,0.3,0,0,0,0,חניון ציבורי,usg code is main usage
3650,0,אפרת,5876.2,16,16,10.5,1.5,0,0,0,0,מגרש ספורט,usg code is main usage
3650,0,אפרת,5876.2,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
3650,0,אפרת,5876.2,0,0,0,0,0,0,0,0,בית עלמין,usg code is main usage
3650,0,אפרת,5876.2,2,30.9,0.7,0.1,0,0,0,0,פארקים,usg code is main usage
182,1,אבן יהודה,8142,29,40.4,11.7,1.7,0.1,0.1,0,0.5,חניון ציבורי,usg code is main usage
182,1,אבן יהודה,8142,20,40,27.7,4,0,0,0,0,מגרש ספורט,usg code is main usage
182,1,אבן יהודה,8142,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
182,1,אבן יהודה,8142,0,0,0,0,0,0,0,0,בית עלמין,usg code is main usage
182,1,אבן יהודה,8142,0,0,0,0,0,0,0,0,פארקים,usg code is main usage
2530,2,באר יעקב,9460.8,37,105.8,30.8,4.4,0,0,0,0,חניון ציבורי,usg code is main usage
2530,2,באר יעקב,9460.8,25,37,22.6,3.2,0,0,0,0,מגרש ספורט,usg code is main usage
2530,2,באר יעקב,9460.8,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
2530,2,באר יעקב,9460.8,1,16.8,3.9,0.6,0,0,0,0.1,בית עלמין,usg code is main usage
2530,2,באר יעקב,9460.8,3,33.7,0.9,0.1,0,0,0,0,פארקים,usg code is main usage
2500,3,נשר,12945.5,40,120.6,38.7,5.5,0,0,0,0,חניון ציבורי,usg code is main usage
2500,3,נשר,12945.5,30,52.6,28,4,0.6,0.6,0.1,2.2,מגרש ספורט,usg code is main usage
2500,3,נשר,12945.5,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
2500,3,נשר,12945.5,1,13.7,3.1,0.4,0,0,0,0,בית עלמין,usg code is main usage
2500,3,נשר,12945.5,2,30.7,0.4,0.1,0,0,0,0,פארקים,usg code is main usage
5552,4,מעלה יוסף,93227.6,16,23.9,6.9,1,0,0,0,0,חניון ציבורי,usg code is main usage
5552,4,מעלה יוסף,93227.6,43,39.5,23.8,3.4,0,0,0,0,מגרש ספורט,usg code is main usage
5552,4,מעלה יוסף,93227.6,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
5552,4,מעלה יוסף,93227.6,2,9,1.2,0.2,0,0,0,0,בית עלמין,usg code is main usage
5552,4,מעלה יוסף,93227.6,2,30.1,0.5,0.1,0,0,0,0,פארקים,usg code is main usage
518,5,מעיליא,2124.5,6,5.1,1.5,0.2,0,0,0,0.1,חניון ציבורי,usg code is main usage
518,5,מעיליא,2124.5,5,5.8,3.7,0.5,0,0,0,0,מגרש ספורט,usg code is main usage
518,5,מעיליא,2124.5,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
518,5,מעיליא,2124.5,1,2,0.2,0,0,0,0,0,בית עלמין,usg code is main usage
518,5,מעיליא,2124.5,0,0,0,0,0,0,0,0,פארקים,usg code is main usage
3557,6,קדומים,3490.9,7,7.4,1.9,0.3,0,0,0,0,חניון ציבורי,usg code is main usage
3557,6,קדומים,3490.9,5,4.6,2.9,0.4,0,0,0,0,מגרש ספורט,usg code is main usage
3557,6,קדומים,3490.9,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
3557,6,קדומים,3490.9,0,0,0,0,0,0,0,0,בית עלמין,usg code is main usage
3557,6,קדומים,3490.9,0,0,0,0,0,0,0,0,פארקים,usg code is main usage
7900,7,פתח תקווה,35861.6,278,803.2,262.6,37.5,2.4,2.4,0.3,0.9,חניון ציבורי,usg code is main usage
7900,7,פתח תקווה,35861.6,117,220.7,138.1,19.7,0.3,0.3,0,0.2,מגרש ספורט,usg code is main usage
7900,7,פתח תקווה,35861.6,4,50.6,21.9,3.1,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
7900,7,פתח תקווה,35861.6,2,850.5,249.8,35.7,0.1,0.1,0,0,בית עלמין,usg code is main usage
7900,7,פתח תקווה,35861.6,12,313.1,9.6,1.4,0,0,0,0.5,פארקים,usg code is main usage
5513,8,מגידו,172670.7,37,57,15.2,2.2,0,0,0,0,חניון ציבורי,usg code is main usage
5513,8,מגידו,172670.7,44,86.1,41.1,5.9,0.3,0.3,0,0.8,מגרש ספורט,usg code is main usage
5513,8,מגידו,172670.7,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
5513,8,מגידו,172670.7,4,15,1.8,0.3,0,0,0,0,בית עלמין,usg code is main usage
5513,8,מגידו,172670.7,0,0,0,0,0,0,0,0,פארקים,usg code is main usage
5502,9,מרום הגליל,178027.9,20,21.3,5.6,0.8,0,0,0,0,חניון ציבורי,usg code is main usage
5502,9,מרום הגליל,178027.9,47,52.2,29.8,4.3,0.2,0.2,0,0.5,מגרש ספורט,usg code is main usage
5502,9,מרום הגליל,178027.9,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
5502,9,מרום הגליל,178027.9,5,14.3,2.4,0.3,0,0,0,0,בית עלמין,usg code is main usage
5502,9,מרום הגליל,178027.9,1,15.8,0.6,0.1,0,0,0,0,פארקים,usg code is main usage
1295,10,יאנוח - ג'ת,13555,2,2.6,0.7,0.1,0,0,0,0,חניון ציבורי,usg code is main usage
1295,10,יאנוח - ג'ת,13555,5,14.2,9.9,1.4,0,0,0,0,מגרש ספורט,usg code is main usage
1295,10,יאנוח - ג'ת,13555,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
1295,10,יאנוח - ג'ת,13555,2,1.6,0.2,0,0,0,0,0,בית עלמין,usg code is main usage
1295,10,יאנוח - ג'ת,13555,0,0,0,0,0,0,0,0,פארקים,usg code is main usage
1161,11,רהט,33481.5,37,70,23.2,3.3,0,0,0,0,חניון ציבורי,usg code is main usage
1161,11,רהט,33481.5,48,77.9,52.3,7.5,0,0,0,0,מגרש ספורט,usg code is main usage
1161,11,רהט,33481.5,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
1161,11,רהט,33481.5,1,3.9,0.6,0.1,0,0,0,0,בית עלמין,usg code is main usage
1161,11,רהט,33481.5,1,11.8,0.4,0.1,0,0,0,0,פארקים,usg code is main usage
633,12,כפר ברא,2450.5,2,1.3,0.4,0.1,0,0,0,0,חניון ציבורי,usg code is main usage
633,12,כפר ברא,2450.5,4,10,7.2,1,0,0,0,0,מגרש ספורט,usg code is main usage
633,12,כפר ברא,2450.5,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
633,12,כפר ברא,2450.5,1,3.6,0.7,0.1,0,0,0,0,בית עלמין,usg code is main usage
633,12,כפר ברא,2450.5,1,7.6,0.1,0,0,0,0,0,פארקים,usg code is main usage
5531,13,נחל שורק,28324.4,28,71.1,21.5,3.1,0,0,0,0,חניון ציבורי,usg code is main usage
5531,13,נחל שורק,28324.4,19,16.8,10.6,1.5,0,0,0,0.1,מגרש ספורט,usg code is main usage
5531,13,נחל שורק,28324.4,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
5531,13,נחל שורק,28324.4,1,1.5,0.3,0,0,0,0,0,בית עלמין,usg code is main usage
5531,13,נחל שורק,28324.4,2,28.1,1,0.1,0,0,0,0,פארקים,usg code is main usage
666,14,עומר,18220.4,18,50.6,15.5,2.2,0,0,0,0,חניון ציבורי,usg code is main usage
666,14,עומר,18220.4,20,53,33.4,4.8,0,0,0,0,מגרש ספורט,usg code is main usage
666,14,עומר,18220.4,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
666,14,עומר,18220.4,1,12.9,2.7,0.4,0,0,0,0,בית עלמין,usg code is main usage
666,14,עומר,18220.4,6,139.2,4.7,0.7,0,0,0,0,פארקים,usg code is main usage
3760,15,אורנית,2370.8,8,10.5,3.2,0.5,0,0,0,0.3,חניון ציבורי,usg code is main usage
3760,15,אורנית,2370.8,5,8.1,5.5,0.8,0,0,0,0,מגרש ספורט,usg code is main usage
3760,15,אורנית,2370.8,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
3760,15,אורנית,2370.8,0,0,0,0,0,0,0,0,בית עלמין,usg code is main usage
3760,15,אורנית,2370.8,1,2.7,0.1,0,0,0,0,0,פארקים,usg code is main usage
2100,16,טירת כרמל,6710.8,47,152.8,45,6.4,0,0,0,0.1,חניון ציבורי,usg code is main usage
2100,16,טירת כרמל,6710.8,21,29.3,17.5,2.5,0,0,0,0,מגרש ספורט,usg code is main usage
2100,16,טירת כרמל,6710.8,0,0,0,0,0,0,0,0,חניון תחבורה ומסופים,usg code is main usage
2100,16,טירת כרמל,6710.8,2,28.4,7.4,1.1,0,0,0,0.2,בית עלמין,usg code is main usage
2100,16,טירת כרמל,6710.8,5,147.8,5.8,0.8,0.1,0.1,0,1.3,פארקים,usg code is main usage
