מספר סידורי,סמל רשות,שם רשות מקומית,שם שכונה,שטח שכונה,מספר מתחמים לקירוי סולארי,שטח מתחמים לקירוי סולארי,"שטח פוטנציאל שנמצא מתאים לקירוי סולארי (מ""ר)",הספק פוטנציאל מוערך (KW),"שטח לא פנוי (מ""ר)","שטח תפוס על ידי לוחות סולאריים (מ""ר)",הספק מותקן מוערך קיים (KW),אחוז מימוש
65867117,8600,רמת גן,רמת שקמה,456768,6,9998,3421,488,0,0,0,0
65867118,8600,רמת גן,תל השומר,886306,21,80442,23970,3425,0,0,0,0
65867119,8600,רמת גן,תל בנימין,155240,1,329,208,30,0,0,0,0
74050251,8600,רמת גן,בן-גוריון,435594,2,1242,624,89,0,0,0,0
65867121,8600,רמת גן,גפן,343229,3,2326,1474,210,0,0,0,0
66239245,8600,רמת גן,הלל,276413,2,1030,568,82,0,0,0,0
66239246,8600,רמת גן,הראשונים,280116,3,4277,1365,195,0,0,0,0
66239247,8600,רמת גן,מרום נווה,429458,8,49583,4063,581,0,0,0,0
65867125,8600,רמת גן,נחלת גנים,295629,1,3458,1167,167,0,0,0,0
65867126,8600,רמת גן,נווה יהושע,498466,11,10094,3324,474,0,0,0,0
65867127,8600,רמת גן,חרוזים,248598,2,1867,932,133,0,0,0,0
73921195,8600,רמת גן,רמת אפעל,1536575,10,52073,8810,1257,0,0,0,0
65867129,8600,רמת גן,"כפר אז""ר",872126,1,592,356,51,0,0,0,0
65867130,8600,רמת גן,שיכון צנחנים,444119,12,42344,21670,3095,15,15,2,0.1
65867131,8600,רמת גן,הבילויים,419091,4,4167,1017,145,0,0,0,0
65867133,8600,רמת גן,קריית בורוכוב,158199,0,0,0,0,0,0,0,0
66239248,8600,רמת גן,חשמונאים,379185,2,13682,399,57,0,0,0,0
65867135,8600,רמת גן,שיכון ותיקים,399617,5,16649,2621,375,0,0,0,0
65867136,8600,רמת גן,הבורסה,317158,10,17171,5405,772,2,0,0,0
67802887,7800,פרדס חנה-כרכור,הכפר הירוק,60894,0,0,0,0,0,0,0,0
67802888,7800,פרדס חנה-כרכור,אחוזה ירוקה,146018,2,1877,1061,152,0,0,0,0
65867139,7800,פרדס חנה-כרכור,ניצני השרון,64438,0,0,0,0,0,0,0,0
74050252,8600,רמת גן,יהלום,155079,1,78,10,1,0,0,0,0
65867142,7800,פרדס חנה-כרכור,נווה רותם,60972,0,0,0,0,0,0,0,0
65867143,7800,פרדס חנה-כרכור,שיכון רמז,320248,2,10791,615,88,0,0,0,0
73166002,7800,פרדס חנה-כרכור,גינת אגוז,346422,0,0,0,0,0,0,0,0
67802882,7800,פרדס חנה-כרכור,נווה מרחב,498344,4,2849,1501,214,0,0,0,0
67802883,7800,פרדס חנה-כרכור,יובלים,525174,2,17919,961,138,0,0,0,0
71485801,7800,פרדס חנה-כרכור,תל רמת כרכור,241240,0,0,0,0,0,0,0,0
67802885,7800,פרדס חנה-כרכור,שיכון עממי,56072,0,0,0,0,0,0,0,0
67802886,7800,פרדס חנה-כרכור,רסקו,175934,0,0,0,0,0,0,0,0
67802892,7800,פרדס חנה-כרכור,נווה התות,88838,1,194,98,14,0,0,0,0
67802893,7800,פרדס חנה-כרכור,פרחי הדר,125801,2,1291,444,63,0,0,0,0
67802894,7800,פרדס חנה-כרכור,נווה אשר,310300,0,0,0,0,0,0,0,0
67802895,7800,פרדס חנה-כרכור,נווה הדרים,285009,1,82,40,6,0,0,0,0
66239235,8600,רמת גן,יד לבנים,286788,2,25351,913,130,0,0,0,0
65867202,8600,רמת גן,תל גנים,196782,1,465,250,36,0,0,0,0
74050253,8600,רמת גן,רמת עמידר,428797,6,8602,6004,858,16,16,2,0.3
65867204,8600,רמת גן,שיכון מזרחי,297541,2,4724,1419,203,0,0,0,0
65867205,8600,רמת גן,מתחם נגבה,475177,2,991,591,85,0,0,0,0
66239236,8600,רמת גן,תל יהודה,291204,0,0,0,0,0,0,0,0
65867208,8600,רמת גן,אצטדיון,515144,30,156533,61096,8726,8,5,1,0
