סמל רשות,מספר סידורי,שם רשות מקומית,שטח שיפוט (דונם),מספר מתחמים לקירוי סולארי,שטח מתחמים לקירוי סולארי,"שטח פוטנציאל שנמצא מתאים לקירוי סולארי (מ""ר)",הספק פוטנציאל מוערך (MW),שטח לא פנוי (דונם),שטח תפוס על ידי לוחות סולאריים (דונם),הספק מותקן מוערך קיים (MW),אחוז מימוש
26,113,ראש פינה,16814.4,26,62.9,19.2,2.7,0,0,0,0
28,126,מזכרת בתיה,7425.4,24,63.8,24.1,3.4,0,0,0,0
29,156,יסוד המעלה,11689.2,6,14.6,3.5,0.5,0,0,0,0
31,142,אופקים,16352.4,77,887.8,102.3,14.6,0.1,0.1,0,0.1
41,135,אליכין,1689.2,12,17.6,5,0.7,0,0,0,0.8
43,174,מטולה,9391.9,8,26,5.9,0.8,0,0,0,0
46,32,יבנאל,31210.7,8,15.4,4.1,0.6,0,0,0,0
47,134,כפר תבור,12387.3,14,44.7,20.2,2.9,0.6,0.6,0.1,2.7
65,150,מגדל,11627.8,10,24.1,7.9,1.1,0.2,0.2,0,1.9
70,84,אשדוד,63921.9,323,1919.5,506.5,72.4,0.5,0.4,0.1,0.1
99,48,מצפה רמון,75708,20,60.8,25.2,3.6,0,0,0,0
122,144,רמת ישי,2332.3,17,23.1,7.1,1,0.4,0.4,0.1,4.9
154,250,תל מונד,7127,30,66.5,16.8,2.4,0,0,0,0.1
166,213,גן יבנה,11452.8,41,131.4,34.5,4.9,0,0,0,0
168,256,כפר יונה,11510.3,47,114.4,30.4,4.3,0.2,0.2,0,0.8
171,243,פרדסיה,1473.8,18,43.8,10.9,1.6,0,0,0,0.1
182,1,אבן יהודה,8142,49,80.5,39.4,5.6,0.1,0.1,0,0.1
195,54,קדימה - צורן,10844.6,52,106.1,39.8,5.7,0,0,0,0
229,28,גני תקווה,2157.9,41,80.4,21.6,3.1,0,0,0,0
240,82,יקנעם עילית,9221.2,67,296.8,50.4,7.2,0,0,0,0
246,36,נתיבות,16218.6,135,506,129.1,18.4,0.1,0.1,0,0.1
267,75,כפר שמריהו,2728.4,10,15.9,6.8,1,0,0,0,0
466,193,בית דגן,1864.7,14,43.8,17.8,2.5,0,0,0,0
469,233,קרית עקרון,2809.2,26,123.9,43,6.1,0.2,0.2,0,0.4
472,188,אבו גוש,1891.2,12,22.9,10.9,1.6,0,0,0,0
473,145,אבו סנאן,6455.3,10,23.6,10.9,1.6,0,0,0,0
478,49,אכסאל,9378.2,19,50,21.6,3.1,0,0,0,0.1
480,132,בית ג'ן,7199.1,11,12.8,5,0.7,0,0,0,0
481,187,מגאר,21112.5,44,50.8,17.7,2.5,0,0,0,0
482,234,בועיינה - נוג'ידאת,7159.3,16,30.5,13.3,1.9,0,0,0,0
483,25,בענה,3458.2,6,14.2,8.1,1.2,0,0,0,0
485,239,ג'וליס,3998.4,10,17.3,9.7,1.4,0,0,0,0
487,235,גוש חלב (ג'יש),7061.1,7,7.2,2.4,0.3,0,0,0,0
489,61,דבוריה,5626.1,15,34,16.9,2.4,0,0,0,0
490,254,דיר אל אסד,5155.8,10,20.2,11.2,1.6,0,0,0,0
492,147,דיר חנא,8918,15,27.4,11.6,1.7,0,0,0,0.1
494,53,דאלית אל כרמל,12726.2,30,46.8,20.9,3,0.1,0.1,0,0.4
496,123,חורפיש,6228.1,15,16.5,4.6,0.7,0.6,0.6,0.1,12
498,214,טורעאן,12291.9,20,30.5,12.7,1.8,0,0,0,0
499,80,יפיע,4080,26,27,9.4,1.3,0,0,0,0
502,249,ירכא,16137.2,37,110.7,42.5,6.1,0.1,0.1,0,0.3
504,164,כאבול,7277.3,16,35.1,15.9,2.3,0,0,0,0
505,217,כאוכב אבו אל היג'א,2731.5,13,21.3,11.6,1.7,0,0,0,0
507,196,כפר יאסיף,3264.8,16,31,12.1,1.7,0,0,0,0
508,124,כפר כמא,8827,6,22.9,11.8,1.7,0,0,0,0.4
509,89,כפר כנא,10056.4,28,53.4,26.4,3.8,0,0,0,0.1
510,201,כפר מנדא,11028.5,30,63.8,32,4.6,0,0,0,0
511,159,עילוט,3114.6,9,37.9,20.9,3,0,0,0,0
516,241,מג'ד אל כרום,9306.8,13,18.5,9.1,1.3,0,0,0,0
517,116,מזרעה,983.4,10,24.1,8.3,1.2,0,0,0,0
518,5,מעיליא,2124.5,12,12.8,5.4,0.8,0,0,0,0
520,97,משהד,7166,7,5.3,1.3,0.2,0,0,0,0
522,231,נחף,6067.1,14,47.9,12.2,1.7,0.9,0.9,0.1,7.2
525,219,סאג'ור,3568.4,5,13.7,9.7,1.4,0,0,0,0
529,88,אעבלין,12082.6,26,44.4,18.8,2.7,0,0,0,0.1
530,62,עילבון,5627.7,13,9.6,4.8,0.7,0,0,0,0
531,151,עראבה,8398.6,27,31.3,13.5,1.9,0,0,0,0
532,209,עין מאהל,5221.6,12,22.7,10.4,1.5,0.1,0.1,0,0.8
534,52,עוספייא,11066.1,25,48.9,13.4,1.9,0.1,0.1,0,0.9
535,64,פסוטה,11051.9,6,12.5,7.5,1.1,0,0,0,0
536,141,פקיעין (בוקייעה),5650.1,12,19.4,9.6,1.4,0,0,0,0
537,137,פוריידיס,4056.9,12,38.6,15.5,2.2,0.1,0.1,0,0.7
538,180,שעב,5383.5,15,39.2,12.1,1.7,0,0,0,0
