מספר סידורי,סמל רשות,שם רשות מקומית,אזור סטטיסטי,שטח אזור סטטיסטי,מספר מתחמים לקירוי סולארי,שטח מתחמים לקירוי סולארי,"שטח פוטנציאל שנמצא מתאים לקירוי סולארי (מ""ר)",הספק פוטנציאל מוערך (KW),"שטח לא פנוי (מ""ר)","שטח תפוס על ידי לוחות סולאריים (מ""ר)",הספק מותקן מוערך קיים (KW),אחוז מימוש
1,7,שחר,70001,2299948,2,2036,1299,185,0,0,0,0
2,10,תירוש,100001,1348877,2,1821,1152,165,0,0,0,0
3,11,"ניר ח""ן",110001,895049,2,1920,1078,154,0,0,0,0
4,13,חצבה,130001,1306252,4,13686,7654,1093,0,0,0,0
5,15,נועם,150001,1656053,2,3014,1716,246,0,0,0,0
6,16,בית ניר,160001,618885,5,3587,1356,194,0,0,0,0
7,18,שדה משה,180001,1827650,3,6175,3379,483,21,21,3,0.6
8,21,באר אורה,210001,508136,4,22877,2435,348,41,41,6,1.7
9,22,מקווה ישראל,220001,478366,3,8630,3126,447,0,0,0,0
10,23,אמציה,230001,185850,1,716,446,64,0,0,0,0
11,24,לכיש,240001,1108519,7,5400,2432,349,0,0,0,0
12,26,ראש פינה,260001,16805684,26,62878,19199,2744,3,3,0,0
13,27,שדות מיכה,270001,923522,1,692,394,56,0,0,0,0
14,28,מזכרת בתיה,280001,865627,13,16388,6721,960,0,0,0,0
15,28,מזכרת בתיה,280002,244340,0,0,0,0,0,0,0,0
16,28,מזכרת בתיה,280003,229140,1,1339,799,114,0,0,0,0
17,28,מזכרת בתיה,280004,341781,6,18505,5048,721,0,0,0,0
18,28,מזכרת בתיה,280005,1581078,4,27528,11487,1641,11,11,2,0.1
19,28,מזכרת בתיה,280006,4162592,0,0,0,0,0,0,0,0
20,29,יסוד המעלה,290001,11689237,6,14592,3479,498,0,0,0,0
21,31,אופקים,310001,629931,6,35275,9435,1348,7,7,1,0.1
22,31,אופקים,310002,1036923,25,77461,18716,2674,10,10,1,0.1
23,31,אופקים,310003,407450,9,15094,4962,709,6,6,1,0.1
24,31,אופקים,310004,459005,4,4374,1344,191,0,0,0,0
25,31,אופקים,310005,2277373,16,298796,20337,2905,47,47,7,0.2
26,31,אופקים,310006,299473,2,936,364,52,0,0,0,0
27,31,אופקים,310007,794054,1,11150,399,57,19,19,3,4.5
28,31,אופקים,310008,1213739,13,18781,10115,1446,0,0,0,0
29,31,אופקים,310009,1360715,0,0,0,0,0,0,0,0
30,31,אופקים,310010,1167249,0,0,0,0,0,0,0,0
31,31,אופקים,310011,1006857,5,425924,36631,5232,13,13,2,0
32,31,אופקים,310012,5699633,0,0,0,0,0,0,0,0
33,32,עוצם,320001,1972346,2,1906,1242,178,0,0,0,0
34,33,בת שלמה,330001,637312,2,2023,1190,170,0,0,0,0
35,35,גדות,350001,824527,6,7174,3679,526,0,0,0,0
36,36,שדה דוד,360001,891091,2,1457,657,93,0,0,0,0
37,37,איתן,370001,806701,2,1817,1140,163,0,0,0,0
38,39,גפן,390001,1078327,1,650,365,52,0,0,0,0
39,41,אליכין,410001,1689103,12,17567,5047,722,41,41,6,0.8
40,43,מטולה,430001,9391856,8,26032,5870,838,0,0,0,0
41,44,זוהר,440001,922215,2,1539,1018,146,0,0,0,0
42,46,יבנאל,460001,31210766,8,15431,4081,582,0,0,0,0
43,47,כפר תבור,470001,12381000,14,44678,20180,2883,557,557,80,2.7
44,48,מנחמיה,480001,7617364,3,4901,2685,384,0,0,0,0
45,49,אילנייה,490001,1566670,2,3405,1002,143,0,0,0,0
46,52,לוזית,520001,769870,1,423,227,32,0,0,0,0
47,53,עתלית,530001,1402419,5,7947,2723,388,0,0,0,0
48,53,עתלית,530002,1050094,8,16669,5707,815,0,0,0,0
49,53,עתלית,530003,560628,6,4824,1712,245,0,0,0,0
50,53,עתלית,530004,767760,4,10993,6897,985,0,0,0,0
51,55,נוגה,550001,674075,1,645,368,53,0,0,0,0
52,57,כנרת (קבוצה),570001,820854,4,10951,5893,842,0,0,0,0
53,58,מצפה,580001,296924,1,609,349,50,0,0,0,0
54,59,נחושה,590001,783935,3,1848,780,111,0,0,0,0
55,62,דגניה א',620001,899139,9,27058,11656,1665,0,0,0,0
56,63,כנרת (מושבה),630001,6829558,3,1847,977,139,0,0,0,0
57,64,"יד רמב""ם",640001,1541818,5,2992,1499,215,0,0,0,0
58,65,מגדל,650001,11627805,10,24139,7872,1123,156,156,22,1.9
59,66,מרחביה (קיבוץ),660001,645015,7,6239,1933,276,780,780,111,28.8
60,67,אור הנר,670001,604791,4,7347,3132,448,5,5,1,0.2
61,69,ניר עוז,690001,840597,9,19320,4447,635,0,0,0,0
62,70,אשדוד,700111,14242142,8,125450,43459,6209,8,8,1,0
63,70,אשדוד,700112,2593694,25,119237,40515,5787,51,51,7,0.1
64,70,אשדוד,700113,3614238,10,46667,16272,2325,0,0,0,0
65,70,אשדוד,700114,558214,5,88494,15393,2199,0,0,0,0
66,70,אשדוד,700121,684055,9,86705,21634,3089,0,0,0,0
67,70,אשדוד,700122,388859,7,81119,9335,1333,58,58,8,0.6
68,70,אשדוד,700123,313730,4,3945,1613,230,0,0,0,0
69,70,אשדוד,700124,401502,8,48720,23674,3382,0,0,0,0
70,70,אשדוד,700125,150668,3,21242,14220,2031,2,0,0,0
71,70,אשדוד,700126,251235,4,7385,3245,464,8,8,1,0.2
72,70,אשדוד,700131,154363,0,0,0,0,0,0,0,0
73,70,אשדוד,700132,157015,1,1112,631,90,0,0,0,0
74,70,אשדוד,700133,606562,16,66754,30067,4294,101,90,13,0.3
75,70,אשדוד,700141,175112,5,4688,1851,264,0,0,0,0
76,70,אשדוד,700142,108836,1,579,371,53,0,0,0,0
77,70,אשדוד,700143,210303,6,38970,5307,758,0,0,0,0
78,70,אשדוד,700144,226126,2,1303,276,40,0,0,0,0
79,70,אשדוד,700145,3944122,4,279465,83641,11948,194,191,27,0.2
80,70,אשדוד,700146,316170,4,2772,864,124,0,0,0,0
81,70,אשדוד,700211,87331,0,0,0,0,0,0,0,0
82,70,אשדוד,700212,103404,0,0,0,0,0,0,0,0
83,70,אשדוד,700213,243834,2,1989,785,112,0,0,0,0
84,70,אשדוד,700214,103219,0,0,0,0,0,0,0,0
85,70,אשדוד,700215,88325,0,0,0,0,0,0,0,0
86,70,אשדוד,700221,189326,1,534,304,43,0,0,0,0
87,70,אשדוד,700222,196778,0,0,0,0,0,0,0,0
88,70,אשדוד,700223,262739,4,16083,8362,1194,0,0,0,0
89,70,אשדוד,700311,648470,10,173196,18905,2699,8,7,1,0
90,70,אשדוד,700312,268874,5,22326,4642,662,0,0,0,0
91,70,אשדוד,700313,344690,2,3847,1782,255,0,0,0,0
92,70,אשדוד,700321,187439,6,19029,6102,873,0,0,0,0
93,70,אשדוד,700322,271788,7,39489,5040,719,0,0,0,0
94,70,אשדוד,700323,210705,4,22643,4579,655,0,0,0,0
95,70,אשדוד,700324,173359,1,3906,1198,171,0,0,0,0
96,70,אשדוד,700411,419930,12,35734,18709,2672,0,0,0,0
97,70,אשדוד,700412,207659,2,42799,1270,182,0,0,0,0
98,70,אשדוד,700413,196101,2,781,430,62,0,0,0,0
99,70,אשדוד,700414,4134962,4,11970,2279,326,0,0,0,0
100,70,אשדוד,700421,357205,0,0,0,0,0,0,0,0
101,70,אשדוד,700422,128230,1,210,99,14,0,0,0,0
102,70,אשדוד,700423,107018,3,2857,1266,181,0,0,0,0
103,70,אשדוד,700431,1084986,10,55114,19019,2717,0,0,0,0
104,70,אשדוד,700432,624208,13,59793,10361,1479,0,0,0,0
105,70,אשדוד,700433,555575,6,17928,5719,816,0,0,0,0
106,70,אשדוד,700434,525270,6,31169,5981,855,0,0,0,0
107,70,אשדוד,700511,245223,4,42470,2169,310,4,0,0,0
108,70,אשדוד,700512,159256,4,3762,1189,171,0,0,0,0
109,70,אשדוד,700513,200855,4,9619,3910,560,0,0,0,0
110,70,אשדוד,700514,209660,1,1284,855,122,0,0,0,0
111,70,אשדוד,700521,208371,8,17357,5823,833,0,0,0,0
112,70,אשדוד,700522,132713,2,1295,765,109,0,0,0,0
113,70,אשדוד,700523,216505,4,6178,3375,482,0,0,0,0
114,70,אשדוד,700524,299451,2,1666,960,138,0,0,0,0
115,70,אשדוד,700611,275364,5,32247,2862,408,0,0,0,0
116,70,אשדוד,700612,179146,5,6474,3676,526,7,0,0,0
117,70,אשדוד,700613,193916,2,218,114,16,0,0,0,0
118,70,אשדוד,700621,136547,1,3470,1086,155,0,0,0,0
119,70,אשדוד,700622,143486,5,7629,3831,547,0,0,0,0
120,70,אשדוד,700623,279648,1,12076,190,27,1,0,0,0
121,70,אשדוד,700624,212152,1,9096,143,21,1,0,0,0
122,70,אשדוד,700631,826198,5,18361,6206,886,0,0,0,0
123,70,אשדוד,700632,317431,6,23738,3189,456,0,0,0,0
124,70,אשדוד,700633,311650,7,11680,3930,562,15,15,2,0.4
125,70,אשדוד,700711,209111,9,23948,4419,632,0,0,0,0
126,70,אשדוד,700712,191490,9,16197,5160,738,2,0,0,0
127,70,אשדוד,700713,153800,4,12176,4005,572,0,0,0,0
128,70,אשדוד,700714,215326,7,23413,4938,704,0,0,0,0
129,70,אשדוד,700721,189790,4,12738,4537,648,0,0,0,0
